"","V3","V2.x","V2.y","V2.x.x","V5","V1","V2.y.y"
"1","01515-4501",2022,NA,NA,"01515",NA,NA
"2","01558-4603",2022,NA,NA,"01558",NA,NA
"3","03305-4000",2022,NA,NA,"03305",NA,NA
"4","03487-4004",2022,NA,NA,"03487",NA,NA
"5","04442-3702",2022,NA,NA,"04442",NA,NA
"6","04548-3704",2022,NA,NA,"04548",NA,NA
"7","04603-3705",2022,NA,NA,"04603",NA,NA
"8","06441-3904",2022,NA,NA,"06441",NA,NA
"9","07321-3808",2022,NA,NA,"07321",NA,NA
"10","07441-3804",2022,NA,NA,"07441",NA,NA
"11","09207-0608",2022,NA,NA,"09207",NA,NA
"12","09341-0601",2022,NA,NA,"09341",NA,NA
"13","09422-0605",2022,NA,NA,"09422",NA,NA
"14","10342-0707",2022,NA,NA,"10342",NA,NA
"15","10363-0704",2022,NA,NA,"10363",NA,NA
"16","11204-0300",2022,NA,NA,"11204",NA,NA
"17","11213-0300",2022,NA,NA,"11213",NA,NA
"18","11401-0303",2022,NA,NA,"11401",NA,NA
"19","15584-1103",2022,NA,NA,"15584",NA,NA
"20","16301-2300",2022,NA,NA,"16301",NA,NA
"21","16381-2302",2022,NA,NA,"16381",NA,NA
"22","16384-2302",2022,NA,NA,"16384",NA,NA
"23","20581-1000",2022,NA,NA,"20581",NA,NA
"24","20589-1000",2022,NA,NA,"20589",NA,NA
"25","21481-2001",2022,NA,NA,"21481",NA,NA
"26","21483-2001",2022,NA,NA,"21483",NA,NA
"27","21523-2030",2022,NA,NA,"21523",NA,NA
"28","22201-0800",2022,NA,NA,"22201",NA,NA
"29","22381-0802",2022,NA,NA,"22381",NA,NA
"30","22503-0804",2022,NA,NA,"22503",NA,NA
"31","23603-1840",2022,NA,NA,"23603",NA,NA
"32","25361-1601",2022,2023,NA,"25361",NA,NA
"33","25502-1603",2022,NA,NA,"25502",NA,NA
"34","28624-1437",2022,NA,NA,"28624",NA,NA
"35","29205-1512",2022,2023,NA,"29205","292052"," äÄå¥és"
"36","29361-1512",2022,2023,NA,"29361","293610"," êÏêºí¨"
"37","29362-1512",2022,2023,NA,"29362","293628"," éOëÓí¨"
"38","29363-1512",2022,2023,NA,"29363","293636"," ìcå¥ñ{í¨"
"39","29382-1510",2022,NA,NA,"29382",NA,NA
"40","29401-1512",2022,2023,NA,"29401","294012"," çÇéÊí¨"
"41","29402-1512",2022,2023,NA,"29402","294021"," ñæì˙çÅë∫"
"42","31381-2702",2022,NA,NA,"31381",NA,NA
"43","32383-2802",2022,NA,NA,"32383",NA,NA
"44","32385-2802",2022,NA,NA,"32385",NA,NA
"45","34402-2420",2022,NA,NA,"34402",NA,NA
"46","35421-2505",2022,NA,NA,"35421",NA,NA
"47","35504-2500",2022,NA,NA,"35504",NA,NA
"48","36422-4800",2022,NA,NA,"36422",NA,NA
"49","37381-4700",2022,NA,NA,"37381",NA,NA
"50","38209-5022",2022,NA,NA,"38209",NA,NA
"51","38302-5022",2022,NA,NA,"38302",NA,NA
"52","38385-5001",2022,NA,NA,"38385",NA,NA
"53","38404-5000",2022,NA,NA,"38404",NA,NA
"54","40483-2904",2022,NA,NA,"40483",NA,NA
"55","41324-3011",2022,NA,NA,"41324",NA,NA
"56","41443-3001",2022,NA,NA,"41443",NA,NA
"57","42342-3117",2022,NA,NA,"42342",NA,NA
"58","42421-3105",2022,NA,NA,"42421",NA,NA
"59","43322-3315",2022,NA,NA,"43322",NA,NA
"60","43361-3302",2022,NA,NA,"43361",NA,NA
"61","43365-3302",2022,NA,NA,"43365",NA,NA
"62","43385-3304",2022,NA,NA,"43385",NA,NA
"63","43422-3305",2022,NA,NA,"43422",NA,NA
"64","43430-3305",2022,NA,NA,"43430",NA,NA
"65","43463-3306",2022,NA,NA,"43463",NA,NA
"66","44321-3201",2022,NA,NA,"44321",NA,NA
"67","44501-3205",2022,NA,NA,"44501",NA,NA
"68","46207-3405",2022,NA,NA,"46207",NA,NA
"69","46211-3422",2022,NA,NA,"46211",NA,NA
"70","46302-3400",2022,NA,NA,"46302",NA,NA
"71","46344-3402",2022,NA,NA,"46344",NA,NA
"72","46383-3403",2022,NA,NA,"46383",NA,NA
"73","46467-3442",2022,NA,NA,"46467",NA,NA
"74","46485-3404",2022,NA,NA,"46485",NA,NA
"75","47202-3601",2022,NA,NA,"47202",NA,NA
"76","04214-3702",NA,2023,2024,"04214","042145"," ìåèºìáés"
"77","09384-0602",NA,2023,NA,"09384","093840"," âñíJí¨"
"78","25421-1602",NA,2023,2024,"25421",NA,NA
"79","04213-3704",NA,NA,2024,"04213","042137"," åIå¥és"
"80","09201-0608",NA,NA,2024,"09201","092011"," âFìsã{és"
"81","09206-0600",NA,NA,2024,"09206","092061"," ì˙åıés"
"82","15202-1101",NA,NA,2024,"15202","152021"," í∑â™és"
"83","15213-1104",NA,NA,2024,"15213","152137"," âçés"
"84","22138-0804",NA,NA,2024,"22138","221384"," ïlèºésíÜâõãÊ"
"85","22139-0804",NA,NA,2024,"22139","221392"," ïlèºésïlñºãÊ"
"86","29205-1510",NA,NA,2024,"29205","292052"," äÄå¥és"
"87","29361-1510",NA,NA,2024,"29361","293610"," êÏêºí¨"
"88","29362-1510",NA,NA,2024,"29362","293628"," éOëÓí¨"
"89","29363-1510",NA,NA,2024,"29363","293636"," ìcå¥ñ{í¨"
"90","29401-1510",NA,NA,2024,"29401","294012"," çÇéÊí¨"
"91","29402-1510",NA,NA,2024,"29402","294021"," ñæì˙çÅë∫"
