"","V3","V2.x","V2.y","V2.x.x","V5","V1","V2.y.y"
"1","01101-4300",2022,2023,2024,"01101","011011"," 札幌市中央区"
"2","01102-4306",2022,2023,2024,"01102","011029"," 札幌市北区"
"3","01103-4306",2022,2023,2024,"01103","011037"," 札幌市東区"
"4","01104-4316",2022,2023,2024,"01104","011045"," 札幌市白石区"
"5","01105-4307",2022,2023,2024,"01105","011053"," 札幌市豊平区"
"6","01106-4307",2022,2023,2024,"01106","011061"," 札幌市南区"
"7","01107-4313",2022,2023,2024,"01107","011070"," 札幌市西区"
"8","01108-4316",2022,2023,2024,"01108","011088"," 札幌市厚別区"
"9","01109-4313",2022,2023,2024,"01109","011096"," 札幌市手稲区"
"10","01110-4307",2022,2023,2024,"01110","011100"," 札幌市清田区"
"11","01202-4400",2022,2023,2024,"01202","012025"," 函館市"
"12","01203-4304",2022,2023,2024,"01203","012033"," 小樽市"
"13","01204-4500",2022,2023,2024,"01204","012041"," 旭川市"
"14","01205-4302",2022,2023,2024,"01205","012050"," 室蘭市"
"15","01206-4600",2022,2023,2024,"01206","012068"," 釧路市"
"16","01207-4601",2022,2023,2024,"01207","012076"," 帯広市"
"17","01208-4603",2022,2023,2024,"01208","012084"," 北見市"
"18","01209-4301",2022,2023,2024,"01209","012092"," 夕張市"
"19","01210-4301",2022,2023,2024,"01210","012106"," 岩見沢市"
"20","01211-4603",2022,2023,2024,"01211","012114"," 網走市"
"21","01212-4502",2022,2023,2024,"01212","012122"," 留萌市"
"22","01213-4323",2022,2023,2024,"01213","012131"," 苫小牧市"
"23","01214-4503",2022,2023,2024,"01214","012149"," 稚内市"
"24","01215-4301",2022,2023,2024,"01215","012157"," 美唄市"
"25","01216-4315",2022,2023,2024,"01216","012165"," 芦別市"
"26","01217-4308",2022,2023,2024,"01217","012173"," 江別市"
"27","01218-4315",2022,2023,2024,"01218","012181"," 赤平市"
"28","01219-4514",2022,2023,2024,"01219","012190"," 紋別市"
